Date,SPY,TLT
2020-01-02,297.698974609375,115.4437484741211
2020-01-03,295.44476318359375,117.22161865234375
2020-01-06,296.5718078613281,116.55596923828125
2020-01-07,295.7380065917969,115.98299407958984
2020-01-08,297.31414794921875,115.21619415283203
2020-01-09,299.3301696777344,115.62063598632812
2020-01-10,298.46875,116.64862060546875
2020-01-13,300.5213623046875,116.29475402832031
2020-01-14,300.06317138671875,116.8929672241211
2020-01-15,300.7413024902344,117.66816711425781
2020-01-16,303.24298095703125,117.29737854003906
2020-01-17,304.1868591308594,116.29475402832031
2020-01-21,303.59124755859375,117.51649475097656
2020-01-22,303.6278381347656,117.92935180664062
2020-01-23,303.97607421875,118.75507354736328
2020-01-24,301.2727966308594,119.71569061279297
2020-01-27,296.4434814453125,121.57777404785156
2020-01-28,299.5501708984375,120.62567901611328
2020-01-29,299.3026428222656,121.80528259277344
2020-01-30,300.27392578125,121.82213592529297
2020-01-31,294.8216247558594,122.93441009521484
2020-02-03,297.0117492675781,122.8347396850586
2020-02-04,301.5385437011719,121.18053436279297
2020-02-05,305.02069091796875,119.85546875
2020-02-06,306.0470275878906,120.39561462402344
2020-02-07,304.4159240722656,121.89800262451172
2020-02-10,306.6885681152344,122.23551177978516
2020-02-11,307.2200012207031,121.61939239501953
2020-02-12,309.1993408203125,121.00328063964844
2020-02-13,308.86944580078125,121.46755981445312
2020-02-14,309.3642578125,121.9992446899414
2020-02-18,308.5670166015625,122.8347396850586
2020-02-19,310.0423583984375,122.82630157470703
2020-02-20,308.7686767578125,123.78848266601562
2020-02-21,305.5888977050781,124.94476318359375
2020-02-24,295.4539489746094,126.80996704101562
2020-02-25,286.5010070800781,127.48522186279297
2020-02-26,285.44720458984375,126.80996704101562
2020-02-27,272.62725830078125,128.1857147216797
2020-02-28,271.4818420410156,131.08055114746094
2020-03-02,283.2388000488281,130.11619567871094
2020-03-03,275.12890625,132.1363525390625
2020-03-04,286.693359375,130.73318481445312
2020-03-05,277.1632385253906,133.98739624023438
2020-03-06,272.5814514160156,140.9606170654297
2020-03-09,251.2943115234375,144.7811279296875
2020-03-10,264.2975158691406,137.35983276367188
2020-03-11,251.4134063720703,132.30532836914062
